ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
121,Jackson Allmon,50 Y Fly,Timed Finals,7th,23.15,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
1,Iowa (A),400 Y Medley Relay,Timed Finals,5th,03:42.1,,799,SMU Classic,11-Oct-19,SCY,W,2019-2020
2,Hannah Burvill,200 Y Free,Timed Finals,4th,01:46.8,,798,SMU Classic,11-Oct-19,SCY,W,2019-2020
3,Iowa (A),800 Y Free Relay,Timed Finals,3rd,07:18.5,,793,SMU Classic,11-Oct-19,SCY,W,2019-2020
4,Kelsey Drake,100 Y Fly,Timed Finals,5th,53.93,,770,SMU Classic,11-Oct-19,SCY,W,2019-2020
5,Kelsey Drake,200 Y Fly,Timed Finals,3rd,01:59.7,,765,SMU Classic,11-Oct-19,SCY,W,2019-2020
6,Hannah Burvill,100 Y Free,Timed Finals,3rd,49.83,,764,SMU Classic,11-Oct-19,SCY,W,2019-2020
7,Hannah Burvill,200 Y Back,Timed Finals,4th,01:58.2,,760,SMU Classic,11-Oct-19,SCY,W,2019-2020
8,Millie Sansome,500 Y Free,Timed Finals,3rd,04:49.4,,760,SMU Classic,11-Oct-19,SCY,W,2019-2020
9,Hannah Burvill,50 Y Free,Timed Finals,–,23.2,R,754,SMU Classic,11-Oct-19,SCY,W,2019-2020
10,Hannah Burvill,100 Y Back,Timed Finals,4th,54.72,,749,SMU Classic,11-Oct-19,SCY,W,2019-2020
11,Millie Sansome,400 Y IM,Timed Finals,3rd,04:18.8,,745,SMU Classic,11-Oct-19,SCY,W,2019-2020
12,Iowa (A),200 Y Free Relay,Timed Finals,5th,01:34.7,,734,SMU Classic,11-Oct-19,SCY,W,2019-2020
13,Iowa (A),200 Y Medley Relay,Timed Finals,5th,01:43.5,,728,SMU Classic,11-Oct-19,SCY,W,2019-2020
14,Millie Sansome,100 Y Back,Timed Finals,–,55.25,R,727,SMU Classic,11-Oct-19,SCY,W,2019-2020
15,Allyssa Fluit,200 Y Free,Timed Finals,9th,01:50.3,,725,SMU Classic,11-Oct-19,SCY,W,2019-2020
16,Lauren McDougall,200 Y Free,Timed Finals,–,01:50.4,R,723,SMU Classic,11-Oct-19,SCY,W,2019-2020
17,Millie Sansome,100 Y Back,Timed Finals,10th,55.39,,722,SMU Classic,11-Oct-19,SCY,W,2019-2020
18,Sarah Schemmel,50 Y Free,Timed Finals,5th,23.57,,719,SMU Classic,11-Oct-19,SCY,W,2019-2020
19,Sarah Schemmel,100 Y Fly,Timed Finals,8th,55.23,,717,SMU Classic,11-Oct-19,SCY,W,2019-2020
20,Millie Sansome,200 Y IM,Timed Finals,5th,02:04.0,,711,SMU Classic,11-Oct-19,SCY,W,2019-2020
21,Allyssa Fluit,500 Y Free,Timed Finals,10th,04:57.3,,701,SMU Classic,11-Oct-19,SCY,W,2019-2020
22,Aleksandra Olesiak,100 Y Breast,Timed Finals,6th,01:03.4,,701,SMU Classic,11-Oct-19,SCY,W,2019-2020
23,Lauren McDougall,50 Y Free,Timed Finals,10th,23.83,,696,SMU Classic,11-Oct-19,SCY,W,2019-2020
24,Anna Brooker,200 Y Back,Timed Finals,11th,02:02.0,,690,SMU Classic,11-Oct-19,SCY,W,2019-2020
25,Sarah Schemmel,100 Y Free,Timed Finals,12th,51.69,,685,SMU Classic,11-Oct-19,SCY,W,2019-2020
26,Aleksandra Olesiak,200 Y Breast,Timed Finals,5th,02:19.1,,685,SMU Classic,11-Oct-19,SCY,W,2019-2020
27,Anna Brooker,400 Y IM,Timed Finals,11th,04:28.8,,665,SMU Classic,11-Oct-19,SCY,W,2019-2020
28,Kelsey Drake,200 Y Breast,Timed Finals,12th,02:21.1,,655,SMU Classic,11-Oct-19,SCY,W,2019-2020
29,Anna Brooker,200 Y IM,Timed Finals,12th,02:07.5,,654,SMU Classic,11-Oct-19,SCY,W,2019-2020
30,Lauren McDougall,200 Y Fly,Timed Finals,12th,02:09.5,,604,SMU Classic,11-Oct-19,SCY,W,2019-2020
31,Anna Brooker,100 Y Breast,Timed Finals,12th,01:14.4,,433,SMU Classic,11-Oct-19,SCY,W,2019-2020
32,Millie Sansome,50 Y Back,Timed Finals,–,25.95,R,–,SMU Classic,11-Oct-19,SCY,W,2019-2020
33,Sam Tamborski,3M Diving,Timed Finals,1st,302,,–,SMU Classic,11-Oct-19,SCY,W,2019-2020
34,Sam Tamborski,1M Diving,Timed Finals,6th,248,,–,SMU Classic,11-Oct-19,SCY,W,2019-2020
1,Iowa (A),400 Y Free Relay,Timed Finals,1st,02:58.1,,785,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
2,Aleksey TARASENKO,200 Y Free,Timed Finals,1st,01:37.4,,777,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
3,Mateusz Arndt,500 Y Free,Timed Finals,2nd,04:29.1,,776,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
4,Iowa (A),200 Y Medley Relay,Timed Finals,2nd,01:29.1,,767,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
5,Evan Holt,1000 Y Free,Timed Finals,2nd,09:28.2,,740,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
6,Will Myhre,100 Y Breast,Timed Finals,2nd,55.03,,736,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
7,Aleksey TARASENKO,100 Y Free,Timed Finals,1st,44.21,,735,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
8,Iowa (B),400 Y Free Relay,Timed Finals,3rd,03:02.3,,732,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
9,Aleksey TARASENKO,100 Y Free,Timed Finals,–,44.34,R,729,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
10,Mateusz Arndt,1000 Y Free,Timed Finals,3rd,09:31.3,,728,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
11,Evan Holt,500 Y Free,Timed Finals,3rd,04:35.3,,724,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
12,Michael Tenney,200 Y Fly,Timed Finals,1st,01:48.5,,723,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
13,Daniel Swanepoel,200 Y Breast,Timed Finals,2nd,02:00.4,,720,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
14,Anze Fers,200 Y Back,Timed Finals,2nd,01:46.9,,718,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
15,Ryan Purdy,200 Y Back,Timed Finals,3rd,01:47.2,,713,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
16,Iowa (B),200 Y Medley Relay,Timed Finals,3rd,01:31.4,,710,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
17,Tom Schab,1000 Y Free,Timed Finals,5th,09:36.4,,709,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
18,Andrew Fierke,1000 Y Free,Timed Finals,4th,09:36.4,,709,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
19,Daniel Swanepoel,100 Y Breast,Timed Finals,3rd,55.86,,704,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
20,Michael Tenney,200 Y IM,Timed Finals,1st,01:50.4,,702,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
21,Andrew Fierke,500 Y Free,Timed Finals,5th,04:38.3,,701,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
22,Anze Fers,200 Y IM,Timed Finals,2nd,01:50.6,,699,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
23,Joe Myhre,100 Y Free,Timed Finals,2nd,45.03,,696,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
24,Daniel Swanepoel,200 Y IM,Timed Finals,3rd,01:51.2,,688,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
25,Tom Schab,500 Y Free,Timed Finals,–,04:40.9,,682,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
26,William Scott,100 Y Free,Timed Finals,3rd,45.49,,675,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
27,Michael Tenney,100 Y Fly,Timed Finals,2nd,48.79,,675,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
28,Stjepan Fiolic,100 Y Free,Timed Finals,5th,45.6,,670,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
29,Joe Myhre,50 Y Free,Timed Finals,1st,20.16,,669,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
30,Iowa (C),400 Y Free Relay,Timed Finals,5th,03:08.1,,667,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
31,John Colin,100 Y Back,Timed Finals,2nd,49.84,,664,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
32,Anze Fers,100 Y Back,Timed Finals,3rd,49.89,,662,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
33,Dolan Craine,200 Y IM,Timed Finals,–,01:52.7,,660,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
34,Iowa (C),200 Y Medley Relay,Timed Finals,5th,01:33.7,,659,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
35,Thomas Pederson,200 Y Free,Timed Finals,6th,01:43.0,,656,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
36,Ryan Purdy,100 Y Back,Timed Finals,4th,50.21,,650,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
37,Weston Credit,100 Y Breast,Timed Finals,5th,57.41,,648,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
38,Jackson Allmon,200 Y Free,Timed Finals,7th,01:43.5,,648,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
39,William Scott,50 Y Free,Timed Finals,2nd,20.38,,647,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
40,Will Myhre,100 Y Free,Timed Finals,–,46.16,R,646,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
41,Dolan Craine,200 Y Fly,Timed Finals,4th,01:53.2,,636,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
42,Iowa (D),200 Y Medley Relay,Timed Finals,7th,01:34.9,,634,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
43,Will Myhre,200 Y Breast,Timed Finals,5th,02:05.8,,631,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
44,Stjepan Fiolic,50 Y Free,Timed Finals,3rd,20.6,,627,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
45,Weston Credit,200 Y Breast,Timed Finals,6th,02:06.3,,624,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
46,Evan Holt,200 Y Fly,Timed Finals,5th,01:53.9,,624,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
47,Jackson Allmon,100 Y Free,Timed Finals,–,46.76,R,621,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
48,John Colin,200 Y Back,Timed Finals,–,01:52.3,,620,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
49,Preston Planells,100 Y Back,Timed Finals,–,51.12,,616,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
50,Jackson Allmon,500 Y Free,Timed Finals,8th,04:53.4,,598,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
51,Preston Planells,200 Y Back,Timed Finals,5th,01:53.9,,594,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
52,Iowa (D),400 Y Free Relay,Timed Finals,7th,03:16.1,,588,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
53,Caleb Babb,100 Y Breast,Timed Finals,7th,59.35,,587,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
54,Jacob Rosenkoetter,100 Y Back,Timed Finals,7th,52.31,,575,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
55,Samuel Dumford,100 Y Fly,Timed Finals,5th,51.56,,572,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
56,Samuel Dumford,50 Y Free,Timed Finals,4th,21.25,,571,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
57,Caleb Babb,200 Y IM,Timed Finals,–,01:59.2,,558,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
58,Jacob Rosenkoetter,200 Y Back,Timed Finals,7th,01:56.7,,552,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
59,Caleb Babb,200 Y Breast,Timed Finals,7th,02:12.9,,535,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
60,Preston Planells,100 Y Fly,Timed Finals,7th,52.96,,528,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
61,Caleb Babb,100 Y Free,Timed Finals,–,49.41,R,527,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
62,Jackson Allmon,200 Y Fly,Timed Finals,8th,02:01.3,,517,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
63,Jacob Rosenkoetter,50 Y Back,Timed Finals,–,24.15,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
64,Ryan Purdy,50 Y Back,Timed Finals,–,23.62,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
65,Anze Fers,50 Y Back,Timed Finals,–,23.51,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
66,John Colin,50 Y Back,Timed Finals,–,23.17,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
67,Jonatan Posligua,3M Diving (6 dives),Timed Finals,7th,310.15,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
68,Mohamed Neuman,3M Diving (6 dives),Timed Finals,4th,329.75,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
69,Michael Huebner,3M Diving (6 dives),Timed Finals,8th,236.55,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
70,Anton Hoherz,3M Diving (6 dives),Timed Finals,3rd,334.2,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
71,Jonatan Posligua,1M Diving (6 dives),Timed Finals,5th,273.55,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
72,Mohamed Neuman,1M Diving (6 dives),Timed Finals,1st,334,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
73,Michael Huebner,1M Diving (6 dives),Timed Finals,7th,250.95,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
74,Anton Hoherz,1M Diving (6 dives),Timed Finals,8th,238.75,,–,Iowa vs. Minnesota,26-Oct-19,SCY,M,2019-2020
1,Iowa (A),400 Y Free Relay,Timed Finals,1st,03:24.8,,768,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
2,Hannah Burvill,200 Y Free,Timed Finals,1st,01:48.4,,765,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
3,Kelsey Drake,100 Y Fly,Timed Finals,1st,54.35,,752,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
4,Kelsey Drake,200 Y Fly,Timed Finals,1st,02:00.4,,752,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
5,Kelsey Drake,200 Y IM,Timed Finals,2nd,02:02.0,,746,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
6,Iowa (A),200 Y Medley Relay,Timed Finals,2nd,01:42.9,,741,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
7,Maddie Ziegert,50 Y Free,Timed Finals,1st,23.39,,736,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
8,Hannah Burvill,50 Y Free,Timed Finals,2nd,23.41,,734,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
9,Lauren McDougall,200 Y Free,Timed Finals,3rd,01:50.6,,719,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
10,Hannah Burvill,100 Y Free,Timed Finals,2nd,50.86,,719,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
11,Iowa (B),400 Y Free Relay,Timed Finals,3rd,03:29.8,,715,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
12,Millie Sansome,1000 Y Free,Timed Finals,1st,10:03.7,,714,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
13,Allyssa Fluit,200 Y Free,Timed Finals,4th,01:50.9,,713,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
14,Aleksandra Olesiak,200 Y Breast,Timed Finals,3rd,02:17.8,,705,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
15,Millie Sansome,200 Y Back,Timed Finals,1st,02:01.2,,705,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
16,Allyssa Fluit,500 Y Free,Timed Finals,2nd,04:57.0,,703,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
17,Sarah Schemmel,50 Y Free,Timed Finals,5th,23.77,,701,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
18,Sarah Schemmel,100 Y Fly,Timed Finals,3rd,55.67,,700,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
19,Macy Rink,200 Y Free,Timed Finals,5th,01:51.9,,694,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
20,Lauren McDougall,100 Y Free,Timed Finals,3rd,51.58,,689,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
21,Allyssa Fluit,100 Y Free,Timed Finals,–,51.71,R,684,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
22,Aleksandra Olesiak,100 Y Breast,Timed Finals,3rd,01:03.9,,684,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
23,Maddie Ziegert,100 Y Free,Timed Finals,4th,51.71,,684,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
24,Iowa (B),200 Y Medley Relay,Timed Finals,4th,01:45.9,,679,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
25,Millie Sansome,200 Y IM,Timed Finals,5th,02:06.0,,678,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
26,Sarah Schemmel,100 Y Free,Timed Finals,–,51.95,R,675,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
27,Iowa (C),400 Y Free Relay,Timed Finals,5th,03:34.8,,666,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
28,Macy Rink,100 Y Free,Timed Finals,5th,52.24,,663,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
29,Anna Brooker,1000 Y Free,Timed Finals,4th,10:20.6,,658,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
30,Ariel Wooden,50 Y Free,Timed Finals,8th,24.33,,654,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
31,Anna Brooker,200 Y Back,Timed Finals,4th,02:04.5,,650,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
32,Sammy Sauer,50 Y Free,Timed Finals,–,24.4,,649,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
33,Grace Reeder,200 Y IM,Timed Finals,6th,02:08.1,,645,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
34,Georgia Clark,200 Y Back,Timed Finals,–,02:05.0,,643,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
35,Sage Ohlensehlen,100 Y Breast,Timed Finals,4th,01:05.4,,637,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
36,Erin Lang,100 Y Back,Timed Finals,3rd,57.76,,637,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
37,Zoe Pawloski,100 Y Back,Timed Finals,4th,57.78,,636,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
38,Georgia Clark,100 Y Back,Timed Finals,5th,57.89,,632,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
39,Grace Reeder,200 Y Fly,Timed Finals,5th,02:07.7,,631,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
40,Erin Lang,200 Y Back,Timed Finals,6th,02:05.7,,631,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
41,Payton Lange,100 Y Free,Timed Finals,–,53.31,R,624,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
42,Payton Lange,200 Y Free,Timed Finals,–,01:56.0,,624,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
43,Zoe Mekus,100 Y Breast,Timed Finals,–,01:06.0,,622,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
44,Zoe Mekus,200 Y Breast,Timed Finals,–,02:23.7,,621,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
45,Iowa (D),200 Y Medley Relay,Timed Finals,7th,01:49.2,,620,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
46,Payton Lange,100 Y Free,Timed Finals,–,53.43,,620,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
47,Lexi Horner,100 Y Breast,Timed Finals,5th,01:06.1,,618,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
48,Aleksandra Olesiak,200 Y IM,Timed Finals,–,02:10.0,,617,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
49,Lexi Horner,200 Y Breast,Timed Finals,5th,02:24.4,,612,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
50,Julia Koluch,100 Y Back,Timed Finals,6th,58.53,,612,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
51,Ariel Wooden,100 Y Fly,Timed Finals,7th,58.28,,610,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
52,Anna Brooker,200 Y IM,Timed Finals,8th,02:10.5,,610,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
53,Paige Hanley,100 Y Breast,Timed Finals,8th,01:06.5,,607,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
54,CC Crane,200 Y Breast,Timed Finals,6th,02:24.9,,606,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
55,Iowa (C),200 Y Medley Relay,Timed Finals,8th,01:50.1,,605,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
56,Iowa (D),400 Y Free Relay,Timed Finals,7th,03:42.1,,603,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
57,Julia Koluch,200 Y Back,Timed Finals,7th,02:07.9,,599,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
58,Taylor Hartley,500 Y Free,Timed Finals,6th,05:13.3,,599,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
59,Zoe Pawloski,200 Y Back,Timed Finals,–,02:08.1,,596,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
60,Sage Ohlensehlen,200 Y Breast,Timed Finals,7th,02:25.9,,593,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
61,Helena Blumenau,100 Y Back,Timed Finals,–,59.86,,572,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
62,Helena Blumenau,100 Y Free,Timed Finals,–,54.96,,570,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
63,Helena Blumenau,500 Y Free,Timed Finals,7th,05:19.0,,567,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
64,Taylor Hartley,1000 Y Free,Timed Finals,7th,10:52.3,,566,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
65,Meghan Hackett,100 Y Fly,Timed Finals,–,59.78,,565,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
66,Christina Kaufman,200 Y Fly,Timed Finals,7th,02:12.8,,560,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
67,Meghan Hackett,50 Y Free,Timed Finals,–,25.69,,556,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
68,Taylor Hartley,100 Y Free,Timed Finals,–,55.59,R,551,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
69,Ariel Wooden,100 Y Free,Timed Finals,–,55.63,,549,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
70,Alleyna Thomas,1000 Y Free,Timed Finals,8th,11:02.2,,541,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
71,Amy Lenderink,200 Y Fly,Timed Finals,8th,02:14.7,,538,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
72,Amy Lenderink,100 Y Fly,Timed Finals,8th,01:01.2,,526,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
73,Alleyna Thomas,500 Y Free,Timed Finals,8th,05:27.3,,525,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
74,Paige Hanley,200 Y Breast,Timed Finals,–,02:32.2,,522,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
75,Christina Kaufman,100 Y Fly,Timed Finals,–,01:01.4,,521,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
76,Georgia Clark,50 Y Back,Timed Finals,–,27.5,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
77,Sammy Sauer,50 Y Back,Timed Finals,–,27.39,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
78,Julia Koluch,50 Y Back,Timed Finals,–,27.19,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
79,Zoe Pawloski,50 Y Back,Timed Finals,–,26.49,R,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
80,Sam Tamborski,3M Diving (6 dives),Timed Finals,2nd,332.4,,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
81,Thelma Strandberg,3M Diving (6 dives),Timed Finals,6th,272.9,,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
82,Jayah Mathews,3M Diving (6 dives),Timed Finals,3rd,326.45,,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
83,Sam Tamborski,1M Diving (6 dives),Timed Finals,3rd,281.65,,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
84,Thelma Strandberg,1M Diving (6 dives),Timed Finals,6th,253.35,,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
85,Jayah Mathews,1M Diving (6 dives),Timed Finals,1st,309.65,,–,Iowa vs. Minnesota,26-Oct-19,SCY,W,2019-2020
1,Kelsey Drake,200 Y Fly,Timed Finals,1st,01:59.5,,770,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
2,Kelsey Drake,100 Y Fly,Timed Finals,2nd,54.36,,752,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
3,Iowa (A),400 Y Free Relay,Timed Finals,2nd,03:26.6,,749,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
4,Hannah Burvill,200 Y Free,Timed Finals,1st,01:49.5,,741,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
5,Lauren McDougall,200 Y Free,Timed Finals,2nd,01:49.9,,733,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
6,Hannah Burvill,100 Y Free,Timed Finals,2nd,50.58,,731,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
7,Hannah Burvill,50 Y Free,Timed Finals,2nd,23.47,,729,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
8,Millie Sansome,200 Y Back,Timed Finals,1st,02:00.0,,725,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
9,Kelsey Drake,200 Y IM,Timed Finals,1st,02:03.6,,718,Iowa vs. Michigan,1-Nov-19,SCY,W,2019-2020
